lemat;nachechowanie
dŸwiêcznoœæ;+ m
dŸwiêczny;+ m
d³ug;- m
d³ug;- s
efektowny;+ m
efektywnoœæ;+ m
efektywnoœæ;+ s
efektywny;+ s
egzamin;amb
ekscentryczny;amb
ekscentryk;amb
ekskrementy;- s
eksponowany;+ s
ekspresowy;+ s
ekstraklasa;+ s
ekstremalny;- s
ekstremalny;- m
elegancki;+ m
elita;+ s
elita;amb
emerytura;amb
energetyczny;+ s
energia;+ m
energiczny;+ s
entuzjasta;+ s
entuzjazm;+ m
epokowy;+ s
etyczny;+ s
ewidentny;amb
facet;amb
fachowiec;+ m
fachowy;+ m
facio;amb
fajny;+ m
faktycznoœæ;amb
fantastyczny;+ m
fatalny;- m
fatum;- s
faworyt;+ s
fa³szywy;- m
fekalia;- s
ferajna;amb
ferajna;+ s
feralny;- m
ferie;+ s
filantrop;+ s
filigranowy;+ s
fina³;amb
finezja;+ s
finisz;+ s
firma;+ s
foremny;+ s
fortuna;+ m
fura;amb
gamoñ;- m
gang;- s
gang;- m
ganiaæ;- s
gap;- s
gasn¹æ;- s
ga³a;- s
ga³a;- m
genialny;+ m
gêstoœæ;+ s
gibki;+ s
gibkoœæ;+ s
gigantyczny;amb
gmin;- s
gminny;- s
gnaæ;- s
gniew;- m
gniewny;- m
gnuœny;- m
godny;+ m
godziwy;+ s
goniæ;- s
góra;amb
gor¹co;- s
gor¹czkowoœæ;- s
gorliwy;amb
górnolotny;- s
goœæ;amb
goœcinny;+ s
gospodarny;+ s
gotowoœæ;+ s
gotowy;+ s
gówno;- m
go³ow¹s;- m
graæ;- s
gracja;+ m
gracja;+ s
gromadziæ;+ s
gromadziæ;amb
groŸba;- m
groŸny;- m
grubiañski;- m
gruby;- m
gryz¹cy;- m
grzeczny;+ s
grzeszny;- s
grzywna;- s
gust;amb
gwardia;+ s
gwa³towny;amb
g³¹b;- m
g³oœny;amb
g³owiæ siê;amb
g³owiæ siê;- s
g³ówkowaæ;amb
g³ówkowaæ;+ s
g³upek;- m
g³upi;- m
g³upol;- m
g³upol;amb
g³usza;- s
hañba;- m
harmonia;+ s
harmonijny;+ s
ha³as;- m
hermetyczny;- s
heros;+ m
hojny;+ m
huk;- s
hulaszczy;- m
humanitarnoœæ;+ m
humanitarny;+ s
humanitaryzm;+ m
idealny;+ m
idiota;- m
impulsywny;- m
impulsywny;- s
inauguracja;+ s
incydent;- s
indywidualny;+ s
informowaæ;+ s
informowaæ siê;+ s
inicjatywa;+ m
instrumentalny;- m
instrumentalny;- s
intelekt;+ s
intelektualista;+ m
intelektualny;amb
inteligencja;+ m
inteligentny;+ m
interesowaæ siê;+ s
interesowaæ siê;amb
interesuj¹cy;+ m
internat;- s
intratny;+ m
intryguj¹cy;+ s
inwencja;+ s
irytacja;- m
istotny;+ m
istotny;- s
istotny;+ s
izolacja;- s
jakoœæ;+ s
jarzmo;- m
jaskrawy;amb
jasny;+ s
jawny;amb
ja³owy;- s
jechaæ;- s
jednomyœlny;+ s
jednostajny;- s
jednoznaczny;+ s
jubileusz;+ s
kaleka;- s
kaleki;- s
kamrat;+ s
kara pieniê¿na;- s
karcer;- s
karcer;- m
karciarz;amb
