lemat;nachechowanie
kocia muzyka;- m
wehiku³;+ s
inwazyjnoœæ;- s
nieinwazyjnoœæ;+ s
koñska dawka;amb
zara¿aæ;- s
zara¿aæ;amb
fala;- m
fala;amb
przyp³yw;amb
enklawa;+ s
niespecjalista;- s
kawal¹tko;amb
wieloœæ;amb
ciê¿kie czasy;- m
cisza i spokój;+ s
cisza w eterze;- s
dar ziemi;+ s
diabelski wynalazek;- s
grzech ciê¿ki;- m
twardy sen;amb
g³êboki sen;amb
mocny sen;amb
serce z kamienia;- m
kamienne serce;- m
serce jak g³az;- m
serce jak kamieñ;- m
druga po³owa;+ s
lepsza po³owa;+ s
konwentykiel;amb
pole;+ s
sztuka;+ s
sztuka;amb
zbiory;+ s
ognisko rodzinne;+ s
rz¹d dusz;- s
sen wieczny;- s
agapa;+ s
staroœwiecczyzna;- s
uszczerbek na zdrowiu;- m
wpadka;- s
wypadek przy pracy;- s
burza w szklance wody;- m
chrzest bojowy;+ m
zawadiactwo;amb
junak;+ s
buñczuczny;- s
czarna niewdziêcznoœæ;- m
mi³oœæ w³asna;- m
mi³oœæ w³asna;- s
kompania honorowa;+ m
kompania reprezentacyjna;+ m
miodowy miesi¹c;+ s
strajk ostrzegawczy;amb
druga m³odoœæ;+ m
jêzyczek u wagi;amb
jêzyczek u wagi;+ s
koœæ niezgody;- m
koœæ niezgody;- s
jab³ko niezgody;- s
królik doœwiadczalny;- s
kula u nogi;- s
kula u nogi;- m
listek figowy;- s
miecz Damoklesa;- s
miecz Damoklesowy;- s
batiar;amb
baciar;amb
ch³opiec do bicia;- m
polowanie na czarownice;- m
punkt zwrotny;amb
randka w ciemno;amb
wêze³ gordyjski;- s
wêze³ gordyjski;- m
wojna nerwów;- m
zas³ona dymna;- s
cz³owiek renesansu;+ s
kozio³ ofiarny;- m
ofiara losu;- m
³owca posagów;- m
wó³ roboczy;- m
bierny opór;amb
esencjonalnoœæ;+ s
obsesjonat;amb
obsesjonista;amb
pañstwo wyznaniowe;- s
czarna rozpacz;- m
czarne myœli;- m
pañstwo opiekuñcze;amb
wolnoœæ sumienia;+ s
benedyktyñska cierpliwoœæ;+ m
czyste rêce;+ s
wolna wola;+ s
zdrowy rozs¹dek;+ m
zimna krew;+ s
czarny marsz;amb
bia³e plamy;- s
bia³e plamy;amb
z³ote czasy;+ m
góra t³uszczu;- m
klucha;- m
pulpet;- s
spaœlak;- m
wieprz;- m
kloc;- m
s³oñ;- m
pyza;amb
ksiê¿yc w pe³ni;- s
puca;amb
chodz¹cy koœciotrup;- m
chudziak;- s
œwiêta krowa;- m
donkiszot;- m
¿ywy koœciotrup;- m
skóra i koœci;- m
szczapa;- m
szkielet;- m
wieszak;- m
koœciany dziadek;- m
cz³owiek czynu;+ s
cz³owiek czynu;+ m
ludzie czynu;+ m
cz³owiek wielkiego ducha;+ s
cz³owiek wielkiego ducha;+ m
cz³owiek wielkiego serca;+ m
cz³owiek o wielkim sercu;+ m
dawca narz¹dów;amb
dawca narz¹dów;- m
szewska pasja;- m
¿y³a z³ota;+ m
chytra sztuka;amb
czarna owca;- m
wyrodek;- s
damski bokser;- m
hiena cmentarna;- m
z³ote jab³ko;+ m
krytykant;- s
z³oty interes;+ m
kopalnia z³ota;+ m
mêty spo³eczne;- m
z³oty œrodek;+ s
dzieciobójca;- m
marcho³t;- s
surogatka;amb
podludzie;- m
po¿eracz serc;- s
pusta noc;- s
op³akana noc;- s
op³akana noc;- m
wilk morski;+ m
ch³op jak d¹b;+ m
mistrz pióra;+ m
s³omiana wdowa;- s
emigracja wewnêtrzna;- s
emigracja wewnêtrzna;- m
grupa ryzyka;- s
komin p³acowy;+ s
kompleks ni¿szoœci;- s
ostra amunicja;- s
sentymentalista;amb
klasycyzm;+ s
m¹¿ stanu;+ m
m¹¿ zaufania;+ m
m¹¿ opatrznoœciowy;+ m
szary rynek;- s
kolos na glinianych nogach;- m
dziecko ulicy;- s
ciche dni;- s
ciep³e gniazdko;+ s
ciep³e gniazdko;amb
cios w plecy;- m
napitka;- s
œwiñski ryj;- m
œwiñska morda;- m
zió³ko;amb
zió³ko;- s
czarny punkt;- s
pan i w³adca;- s
literek;+ s
rólka;- s
laps;- m
granatowa policja;- s
weredyk;amb
ironia;- m
ironia;- s
mefisto;- s
œmiech przez ³zy;- s
mur;- m
mur;- s
próg;- s
przeciwieñstwo;- m
przeciwieñstwo;- s
rafa;- m
rafa;- s
œciana;- m
œciana;- s
tama;- m
tama;- s
tama;amb
zapora;- m
zapora;- s
ograniczenie;- m
antybodziec;- s
hamulec;- m
hamulec;- s
pupilek;amb
towarzysz niedoli;amb
zak³ócenie;- s
spiêtrzenie;- s
ciê¿ar;- s
kamieñ u szyi;- s
pi¹te ko³o u wozu;- s
pi¹te ko³o u wozu;- m
jehowa;- s
jehowita;- s
aptekarska dok³adnoœæ;amb
ekspresyjnoœæ;+ s
fasadowoœæ;- s
kwiecistoœæ;amb
Namiestnik Chrystusa;+ s
Ojciec Œwiêty;+ s
s³uga s³ug Bo¿ych;+ s
wolna sobota;+ s
grobowa cisza;- m
burza;- m
huragan;- m
nawa³nica;- m
wicher;- m
zawierucha;- m
baranek;+ s
siurpryza;amb
odkrycie;amb
awantura arabska;- m
szoking;amb
shocking;amb
po¿egnalny;amb
terminalny;- m
schy³kowy;- m
dekadencki;- m
dekadencki;- s
czystka etniczna;- m
zbrodnia przeciw ludzkoœci;- m
zbrodnia przeciw pokojowi;- s
zbrodnia przeciw pokojowi;- m
zbrodnia wojenna;- m
zdrada stanu;- m
niespodzianka;+ s
absztyfikant;amb
pleciuch;- s
plociuch;- s
pleciuga;- s
ku³ak;- s
stary koñ;- s
pstrokacizna;- s
stary byk;- s
wê¿owisko;- s
bilans bierny;- s
bilans czynny;+ s
purytanin;- s
farbowany lis;- m
ciê¿ki grosz;- m
ciê¿ki grosz;amb
ciê¿ki pieni¹dz;amb
drogie pieni¹dze;- m
ciê¿ka forsa;amb
judaszowe srebrniki;- s
judaszowe srebrniki;- m
koñska kuracja;+ s
koñskie zdrowie;+ m
¿elazne zdrowie;+ m
poeta laureatus;+ s
³azarz;- s
z³ota m³odzie¿;- s
kobieta z przesz³oœci¹;- s
kobieta sukcesu;amb
kobieta ¿ycia;+ m
panna w wieku poborowym;+ s
kobieta w wieku poborowym;+ s
kuku³cze jajo;- s
kuku³cze jajo;- m
niedzielny kierowca;- s
niewierny Tomasz;- s
po¿yteczny idiota;- s
stary lis;+ m
stary wróbel;+ m
stary wyga;+ m
strza³a Amora;amb
strza³a Erosa;amb
strza³a Kupidyna;amb
cielêcy zachwyt;- m
cielêce uwielbienie;- m
cisza jak makiem zasia³;amb
godzina;amb
czarna godzina;- s
czarna godzina;- m
czarna reakcja;- s
dantejska scena;- m
drêtwa gadka;- s
zamek na piasku;- s
zamek na lodzie;- m
zamek na lodzie;- s
z³o konieczne;- s
z³o konieczne;- m
strzêp ludzki;- s
dobry wujek;amb
dobry wujaszek;amb
fachman;+ s
f¹fel;+ s
gor¹cy okres;amb
gorzka pigu³ka;- m
homeryczny œmiech;amb
hyœ;amb
hyŸ;amb
kamieñ obrazy;- s
kokosowy interes;+ m
kropla w morzu;- m
kropla w morzu;- s
kropla w morzu potrzeb;- m
kropla w morzu potrzeb;- s
kura znosz¹ca z³ote jaja;+ m
kurzy mó¿d¿ek;- m
ptasi mó¿d¿ek;- m
robociarz;amb
nasz cz³owiek;+ m
mistrz wszechwag;+ s
czempion wszechwag;+ s
krezus;amb
potañc;+ s
famulus;+ s
czarny koñ;+ s
krzyka³a;- s
w¹skie gard³o;- m
w¹skie gard³o;- s
dom wariatów;- m
dom wariatów;- s
grupa nacisku;amb
samotna matka;amb
zawalisko;- s
zawalisko;- m
drobny ciu³acz;- s
kontrabandzista;- m
pañstwowiec;+ s
manna z nieba;+ s
manna z nieba;+ m
krok milowy;+ m
krok milowy;+ s
mizerak;- s
mokra robota;- s
ostatnie podrygi;amb
ostatnie podrygi;- s
pêdziwiatr;- s
pomieszanie z popl¹taniem;- m
próba ognia;- s
parszywa owca;- m
zaka³a;- m
stygmat;amb
bia³as;- s
ksi¹¿ê z bajki;+ m
ksi¹¿ê z bajki;amb
strza³ w dziesi¹tkê;+ m
œwiñski blondyn;- m
szwadron œmierci;- s
szwadron œmierci;- m
wypierdek mamuta;- m
wysiadka;- s
zasmarkaniec;- m
ciê¿ka rêka;- s
chrapaæ;- s
zew krwi;+ m
zew krwi;amb
g³os natury;- s
g³os natury;amb
zmys³y;+ s
pokusa;- s
¿¹dza;- m
po¿¹danie;- m
po¿¹danie;- s
pa³uba;- s
ciep³e kluski;- s
ciep³e kluchy;- s
córuœ;+ m
popêdziæ;amb
popêdziæ;- s
maœlane oczy;amb
maœlane spojrzenie;amb
antypody;- s
pierwsza jaskó³ka;+ s
osio³ patentowany;- m
stara pudernica;- m
odklejaæ siê;- s
odklejaæ siê;amb
odlepiaæ siê;- s
odlepiaæ siê;amb
przebiæ siê;+ s
oczyœciæ;+ s
myszka;- s
oczyszczaæ;+ s
koronkowa robota;+ s
krwawiæ;- s
jêdrny;+ s
³ysa pa³a;- m
zmarzniêty;- s
zziêb³y;- s
zziêbniêty;- s
skostnia³y;- s
wietrznica;- s
chapaæ;- s
wideopiractwo;- s
najstarszy zawód œwiata;- s
doiæ;amb
doiæ;- s
doiæ;- m
zezowate szczêœcie;- s
garbate szczêœcie;- s
down;- m
mongo³;- m
bezmózgowiec;- m
babraæ;- s
haftowaæ;- m
haftowaæ;- s
rzygaæ;- s
puszczaæ pawia;- s
odkurzaæ;+ s
beczeæ;- s
szlochaæ;- m
³kaæ;- s
³kaæ;- m
³kaæ;amb
rysowaæ;- s
bledn¹æ;amb
bledn¹æ;- s
bladn¹æ;amb
bladn¹æ;- s
zbledn¹æ;- s
zielenieæ;- s
zzielenieæ;- s
kraœnieæ;amb
p³on¹æ;- s
p³on¹æ;- m
gorzeæ;amb
gorzeæ;- s
spiekaæ raka;- s
spiec raka;- s
spiec raczka;- s
spiekaæ raczka;- s
zbladn¹æ;- s
balon;- s
bañka;- s
mêczyæ;- s
zatrzeæ;amb
zacieraæ;amb
zacieraæ;- s
zatrzeæ;- s
popsuæ;- s
bachn¹æ;amb
dojechaæ;- s
r¹baæ;amb
r¹baæ;- s
r¿n¹æ;- s
oszaleæ;- m
siaæ;- s
wykorzystywaæ;- m
r¿n¹æ;amb
r¿n¹æ;- m
rozbijaæ siê;- s
nadawaæ;amb
marszczyæ;amb
modelowaæ;+ s
wa³kowaæ;- s
maglowaæ;- s
osrany;- m
hasaæ;+ s
szaleæ;amb
ba³aganiæ;- s
ba³aganiæ;amb
brykaæ;+ s
wmieszaæ siê;- s
wmieszaæ siê;amb
myszkowaæ;amb
buszowaæ;amb
zmieszaæ siê;- s
balowaæ;+ s
imprezowaæ;amb
balowaæ;amb
baletowaæ;amb
ognisko domowe;+ s
rozbita rodzina;- m
dzieciuch;- m
stara;- s
starsza;- s
hulaæ;amb
hulaæ;- s
zaci¹æ;- s
wym¹drzaæ siê;- m
wym¹drzaæ siê;- s
szpanowaæ;- s
w³óczyæ siê;- s
w³óczyæ siê;amb
zepsuæ siê;- s
niejadalny;- m
niejadalny;- s
obstawiaæ;amb
stawiaæ;+ s
obijaæ siê;amb
obijaæ siê;- s
szturchaæ;- s
objechaæ;- s
obje¿d¿aæ;- s
obje¿d¿aæ;- m
przyjaciel domu;+ m
przyjaciel rodziny;+ m
przyszywana ciocia;+ s
przyszywany wujek;+ s
zastawiaæ;amb
zastawiaæ;- s
rozbieraæ;- s
odci¹æ siê;- m
odci¹æ siê;amb
biesiadowaæ;+ s
biesiadowaæ;+ m
uganiaæ siê;amb
uganiaæ siê;- s
zmordowaæ siê;- m
zmordowaæ siê;- s
odwo³aæ siê;+ s
zmordowaæ;- m
zmordowaæ;- s
mordowaæ siê;- s
pró¿nowaæ;- s
psuæ siê;- s
manipulowaæ;- s
manipulowaæ;- m
gimnastykowaæ siê;+ s
sk³ócony;- m
wleŸæ;- s
dobijaæ;+ s
dobiæ;+ s
dobijaæ;- s
przebijaæ siê;- s
dotoczyæ siê;+ s
dotoczyæ siê;amb
oddalaæ siê;amb
dopadaæ;amb
dopaœæ;amb
wycinaæ;amb
zeschn¹æ;- s
dobijaæ siê;- s
dobiæ siê;+ s
dŸwigaæ siê;- s
dŸwigaæ siê;+ s
zapieraæ siê;- s
wtr¹ciæ;- s
wybiæ;- m
oburzaæ;- m
oburzaæ;- s
irytowaæ;- s
nudziæ;- s
nudziæ siê;- s
maruda;- s
maruda;- m
grymaœnik;- s
grymasiæ;- s
naprzykrzaæ siê;- s
zniechêcaæ;- s
obra¿aæ;- s
obra¿aæ;- m
zniewa¿aæ;- s
zawód;- m
zimny prysznic;- m
uwalniaæ;+ s
uwalniaæ;amb
pra¿yæ;- s
odremontowywaæ;+ s
odremontowaæ;+ s
m¹ciæ;- s
budowaæ siê;+ s
umacniaæ;+ s
rozebraæ;- s
podejœæ;- s
zaczepiaæ;- s
zsychaæ;- s
uschn¹æ;- s
usychaæ;- s
opatulaæ;+ s
otulaæ;+ s
osi¹gaæ;+ m
osi¹gn¹æ;+ m
zraniæ;- s
zastawiæ;amb
zastawiæ;- s
usun¹æ;+ s
postawiæ;+ s
obstawiaæ;+ s
obstawiæ;amb
kleiæ siê;- s
kleiæ siê;amb
lepiæ siê;- s
oblepiæ;amb
zatopiæ;- s
utopiæ;- s
zatapiaæ;- s
wpychaæ;- s
napadaæ;- s
atakowaæ;- s
nacieraæ;- s
naje¿d¿aæ;- m
naje¿d¿aæ;- s
nalatywaæ;- s
naskakiwaæ;- m
naskakiwaæ;- s
wsiadaæ;- m
wsiadaæ;- s
wje¿d¿aæ;- m
wje¿d¿aæ;- s
wjechaæ;- s
broniæ;amb
obijaæ;- s
obiæ;- s
obiæ;- m
podcinaæ;- s
podci¹æ;- s
targaæ;amb
targaæ;- m
targaæ;- s
bajerowaæ;- s
rozczytywaæ siê;+ s
zaczytywaæ siê;+ s
rozczytaæ siê;+ s
zaczytaæ siê;- s
zaczytaæ siê;+ s
zaczytaæ siê;amb
bazgraæ;- s
wyrastaæ;amb
podrastaæ;+ s
podrosn¹æ;+ s
wyrastaæ;+ s
umocniæ;+ s
rozsiewaæ;- s
rozpowszechniæ;+ s
rozsiaæ;- s
wygryzaæ;- s
zdobiæ;+ s
uderzyæ;- s
bimbaæ;- s
œmiaæ siê;+ s
wys³awiaæ;+ m
wys³awiæ;+ m
ucz³owieczaæ;+ s
ucz³owieczyæ;+ s
zhumanizowaæ;+ s
podbiæ;amb
podbiæ;- s
wyczyœciæ;+ s
wyrzeŸbiæ;+ s
rêka;amb
komplikowaæ;- s
zawik³anie;- s
oburzyæ;- s
zaszkodziæ;- s
wyœmiaæ;amb
wyœmiaæ;- s
zniechêciæ;- s
dogadzaæ sobie;- s
zm¹ciæ;- s
zm¹ciæ;amb
zm¹caæ;- s
krzywdziæ;- m
skrzywdziæ;- m
odmiana;amb
przerastaæ;amb
przerosn¹æ;+ s
wiêkszy;amb
przerosn¹æ;amb
przerastaæ;- s
przerosn¹æ;- s
wyró¿niaæ siê;amb
szko³a;- m
szko³a;- s
widzialny;+ s
widomy;+ s
kontrastowaæ;amb
gasn¹æ;amb
zgasn¹æ;amb
zagasn¹æ;amb
kontratakowaæ;- s
kie³kowaæ;+ s
kie³kowaæ;amb
czuæ siê;amb
poczuæ siê;amb
wywy¿szyæ siê;- s
wzi¹æ górê;amb
oko;amb
uœwiadamiaæ;amb
grypsera;- s
demoralizator;- m
pok³óciæ siê;- s
obraziæ;- s
obraziæ;- m
pok³óciæ;- s
zbijaæ;+ s
zbijaæ;amb
zbiæ;+ s
przeciwstawiaæ;amb
przeciwstawiæ;amb
szerzyæ;amb
popsuæ siê;- s
kojarzyæ;+ s
od¿ywiaæ;+ s
wykarmiaæ;+ s
zwalniaæ;+ s
usamodzielniaæ;+ m
usamodzielniaæ;+ s
usamodzielniæ;+ s
usamodzielniæ;amb
usamodzielniaæ siê;+ s
usamodzielniæ siê;+ s
g³owa;amb
podpatrywaæ;+ s
podpatrywaæ;amb
upamiêtniaæ;+ s
upamiêtniæ;+ s
upowszechniæ;+ s
pobudzaæ;+ s
inspirowaæ;+ s
pobudziæ;+ s
zainspirowaæ;+ s
zainspirowaæ;amb
obcieraæ;+ s
obetrzeæ;+ s
przybijaæ;+ s
przybiæ;+ s
przybijaæ;- s
dobiæ;- m
przybiæ;- s
rozbawiæ;amb
zachwycaæ;+ m
k³óciæ;- s
rozje¿d¿aæ;- m
rozjeŸdziæ siê;+ s
wykorkowaæ;- m
wyró¿niæ;+ m
cierpieæ;- s
dorabiaæ siê;- s
dorobiæ siê;- s
dorabiaæ;amb
dorobiæ;+ s
dorabiaæ;- s
dorobiæ;- s
nabiæ;- s
nazabijaæ;- m
odgrzebaæ;amb
oddychaæ;+ s
odsypiaæ;+ s
wysypiaæ siê;+ s
wyspaæ siê;+ s
dosypiaæ;+ s
dospaæ;+ s
budowaæ;+ s
budowaæ;+ m
kombinowaæ;+ s
delektowaæ siê;+ m
delektowaæ siê;+ s
nasycaæ siê;amb
komplemenciarz;amb
komplemencista;amb
odbarwiaæ;- s
zafoliowaæ;+ s
wyœmiaæ siê;+ s
slums;- s
przeczekaæ;- s
przeczekiwaæ;amb
pra¿yæ siê;+ s
przyrumieniæ siê;+ s
wyœmiewaæ;amb
wyœmiewaæ;- s
zmieszaæ;- s
dymacz;- m
oddalaæ siê;- s
pogr¹¿yæ siê;- s
zwiastowaæ;amb
rozbiæ siê;- s
podporz¹dkowaæ;+ s
oblepiaæ;amb
trzymaæ siê;amb
posypaæ siê;amb
posypaæ siê;- s
obrobiæ;+ s
podporz¹dkowywaæ siê;- s
podporz¹dkowaæ siê;- s
sypaæ siê;- s
odjechaæ;amb
sypaæ siê;amb
przeprzeæ;amb
przepieraæ;+ s
wypraæ;+ s
przepraæ;+ s
upraæ;+ s
obroniæ;- s
obroniæ;amb
ratowaæ;+ m
spróbowaæ;+ s
dobijaæ siê;amb
tañczyæ;- s
gniæ;- m
przyrosn¹æ;+ s
przyrastaæ;amb
porêczaæ;+ s
porêczyæ;+ s
chodziæ;- s
restaurowaæ;+ s
boczny tor;- s
lataæ;amb
lataæ;- s
ganiaæ;amb
odbijaæ;- s
odbiæ;- s
odbiæ;amb
zalotnica;amb
podrywaczka;amb
zaleciæ siê;amb
ruch;amb
ruch w interesie;+ s
ruch w interesie;+ m
ruch oporu;+ s
aktywizowaæ;+ s
zaktywizowaæ;+ s
szlifowaæ;+ s
gimnastykowaæ;+ s
spieraæ siê;- s
p³ywaæ;+ s
p³ywaæ;amb
zaopiekowaæ siê;+ s
adoptowaæ;+ s
kontestator;- m
kontestator;- s
kontestacja;amb
przeciwstawiaæ siê;- m
przeciwstawiæ siê;amb
wywy¿szyæ;+ s
wywy¿szyæ;amb
rozkochiwaæ;+ m
rozkochiwaæ;amb
ub³agaæ;amb
ub³agiwaæ;amb
ukochana;+ m
czciæ;+ m
czciæ;+ s
buntowaæ siê;- s
zbuntowaæ siê;- s
³ykaæ;+ s
³ykn¹æ;+ s
wyrzuciæ;- s
obfitowaæ;amb
zniewa¿yæ;- s
zniewa¿yæ;- m
obrzezaniec;- m
mordowaæ;- s
uczciæ;+ s
chrzciæ;+ s
chrzciæ;- s
ochrzciæ;- s
zamieszaæ;- s
wmieszaæ;- s
mieszaæ;amb
zamieszaæ;amb
buntowaæ;- s
podburzaæ;- s
zbuntowaæ;- s
podburzyæ;- s
rozp³akaæ siê;amb
rozp³akaæ siê;- s
zap³akaæ;- s
ziewaæ;- s
md³oœci;- s
nudnoœci;- s
ur¹gaæ;- m
ur¹gaæ siê;- m
kpiæ;- s
zakpiæ;- m
zakpiæ;- s
poch³aniaæ;- s
poch³on¹æ;- s
poch³on¹æ;amb
segregowaæ;+ s
nastawiaæ;amb
melina;amb
melina;- s
meta;- s
meta;amb
melina;- m
dŸwigaæ;+ s
taszczyæ;- s
taszczyæ;- m
tachaæ;- s
przyci¹æ;- s
zwlekaæ;- s
ideologizowaæ;- s
zideologizowaæ;- s
polubiæ;+ s
zwracaæ uwagê;amb
zwracaæ uwagê;- s
umocniæ siê;+ s
umacniaæ siê;+ s
urosn¹æ;amb
urastaæ;amb
urastaæ;+ s
wygasaæ;amb
wygasn¹æ;amb
wygasaæ;- s
wygasn¹æ;- s
wlewaæ;- s
wlewaæ;amb
wlaæ;- s
dotleniæ siê;+ s
dotleniaæ siê;+ s
oczyszczaæ siê;+ s
oczyœciæ siê;+ s
nasycaæ;amb
syciæ;+ s
nasyciæ;+ s
syty;+ s
najedzony;+ s
rozmijaæ siê;- s
mijaæ siê;- s
rozmin¹æ siê;- s
min¹æ siê;- s
bazowaæ;amb
graæ;+ s
graæ;amb
graæ;+ m
rozbawiaæ siê;+ s
rozbawiæ siê;+ s
wybadywaæ;amb
wybadaæ;+ s
wzbogacaæ;+ s
wzbogaciæ;+ s
nawoziæ;+ s
zabiæ;amb
zabijaæ;amb
zagraæ;- s
zagraæ;+ s
odwlec;- s
odwlec;amb
odwlekaæ;- s
odwlekaæ;amb
jaœnieæ;+ s
dogl¹dn¹æ;+ s
obchodziæ siê;amb
flirtowaæ;amb
flirtowaæ;+ s
schodziæ siê;+ s
zejœæ siê;+ s
wyja³awiaæ;- s
wyja³owiæ;- s
wyja³awiaæ;+ s
zdezynfekowaæ;+ s
pchaæ;+ s
pchaæ;amb
wygaszaæ;amb
wygasiæ;amb
wyraziæ siê;amb
podrabiaæ;- s
podrobiæ;- s
podrobiæ;amb
³apaæ;+ s
chwytaæ;+ s
zara¿aæ siê;- s
zara¿aæ siê;amb
zaraziæ siê;- s
zaraziæ siê;amb
pracowaæ;+ s
zarzynaæ;- m
wyrzynaæ;- m
zaczepiaæ;+ s
potargaæ;amb
potargaæ;- m
zaowocowaæ;+ s
amortyzowaæ;+ s
paliæ;amb
drzeæ;amb
drzeæ;- s
prostytuowaæ;- s
prostytuowaæ;- m
dostêpny;+ s
urobiæ;amb
nadrywaæ;- s
nadrywaæ;amb
pstry;amb
zedrzeæ;- s
zedrzeæ;- m
nasycaæ;+ s
zdzieraæ;- s
zdzieraæ;- m
pozbieraæ;+ s
uzupe³niaæ;+ s
dope³niaæ;+ s
pokrwawiæ;- s
pokrwawiæ;- m
zakrwawiæ;- s
wytrzeæ;- s
obrosn¹æ;amb
wci¹æ;amb
igraæ;+ s
igraæ;amb
œmigaæ;amb
stawiaæ siê;- s
stawiaæ siê;amb
podskakiwaæ;- s
wlec siê;- s
zostawiæ;- s
zostawiæ;- m
zostawiæ;amb
zostawiæ;+ s
zostawiaæ;amb
zostawiaæ;- s
pozostawiaæ;amb
byæ w stanie;+ s
byæ w mocy;+ s
byæ w mocy;+ m
byæ w mocy;- s
œwiadomy;amb
odchodziæ;- m
odchodziæ;- s
odejœæ;amb
odejœæ;- s
odleŸæ;amb
odleŸæ;- s
odchodziæ;amb
zwróciæ uwagê;amb
zwróciæ uwagê;+ s
zabijaæ czas;amb
zadzia³aæ;+ s
stapiaæ;amb
irytowaæ siê;- s
pozabijaæ;- m
wyzywaæ;- s
wyzywaæ;- m
wyzwaæ;- s
wyzwaæ;- m
kolêdowaæ;- s
antyszambrowaæ;- s
pod¿egaæ;- m
pod¿egaæ;- s
judziæ;- m
judziæ;- s
podjudzaæ;- m
podjudzaæ;- s
podjudziæ;- s
podjudziæ;- m
zaatakowaæ;- s
mieæ seks;+ s
napad;amb
atak;amb
atak;- m
atakowaæ;amb
atakowaæ;+ s
zaatakowaæ;+ s
droczyæ siê;+ s
kiblowaæ;- s
nape³niaæ;amb
nape³niæ;amb
kl¹æ;- s
bluzgaæ;- s
bluzgn¹æ;- s
bluzn¹æ;- s
baletowaæ;+ s
znosiæ;- m
przeczekaæ;+ s
paliæ;- m
paliæ;- s
wpychaæ siê;- s
wepchn¹æ siê;- s
pojawiæ siê;+ s
wpychaæ siê;- m
ukazaæ siê;+ s
uczuæ;amb
wynegocjowaæ;+ s
z³o¿yæ;+ s
zbledn¹æ;amb
zbladn¹æ;amb
zgasn¹æ;- s
zagasn¹æ;- s
wyblak³y;- s
poblak³y;- s
sp³owia³y;- s
wyp³owia³y;- s
przyblak³y;- s
spe³z³y;- s
wype³z³y;- s
wyrudzia³y;- s
wyszarza³y;- s
zblak³y;- s
zmatowia³y;- s
zrudzia³y;- s
pokonaæ;+ s
pokonaæ;+ m
pokonywaæ;+ m
gimnastykowaæ siê;amb
gimnastykowaæ siê;- s
zniechêcaæ siê;- s
zniechêciæ siê;- s
³¹czyæ;+ s
anga¿owaæ;+ s
anga¿owaæ;amb
zaaklimatyzowaæ siê;+ s
blok;- m
ABS;- s
ABS;amb
melony;amb
zderzaki;amb
wymiatacz;+ m
zaci¹æ siê;- s
zwi¹zany;amb
zwi¹zany;+ m
wpaœæ;amb
zakochaæ siê;amb
wpadaæ;- m
oczekiwaæ;amb
oczekiwaæ;+ s
zawrzeæ;amb
zawrzeæ;- s
zawrzeæ;- m
spleœæ;+ s
ukisiæ siê;- s
zakisiæ siê;- s
przesiaæ;+ s
przesiaæ;- s
odcinaæ siê;- s
odcinaæ siê;amb
odci¹æ siê;- s
zwracaæ uwagê;+ s
podejœæ;amb
podchodziæ;amb
zaraziæ;- s
zaraziæ;amb
stawiaæ;amb
urz¹dzaæ;+ s
alkoholizowaæ;- s
wystylizowaæ;amb
k³aœæ;- s
t³umaczyæ;- s
t³umaczyæ;amb
¿yæ;amb
dopadaæ;- s
dotkn¹æ;amb
doczekiwaæ siê;+ s
dopaœæ;- s
gotowaæ;+ s
gotowaæ;amb
zgotowaæ;+ s
uderzyæ;+ s
uderzaæ;+ s
uporz¹dkowywaæ;+ s
d³ubaæ;+ s
urz¹dziæ;+ s
zakochiwaæ siê;amb
pêkaæ;amb
wyraziæ siê;- s
wyra¿aæ siê;- s
zorganizowaæ;+ s
organizowaæ;+ s
scementowaæ;+ m
scementowaæ;+ s
sprawny;+ s
wybiæ;- s
rozbijaæ;+ s
rozbijaæ;amb
rozbiæ;+ s
rozbiæ;amb
biæ na alarm;amb
biæ na alarm;- s
wybijaæ;- m
wieszaæ;- m
obra¿aæ siê;- s
obra¿aæ siê;- m
obraziæ siê;- s
obraziæ siê;- m
odznaczaæ siê;amb
odznaczaæ siê;+ s
otworzyæ;+ s
targaæ siê;- s
targn¹æ siê;- m
targn¹æ siê;- s
eksperymentowaæ;+ s
ho³dowaæ;+ m
ho³dowaæ;amb
rozregulowaæ;- s
rozregulowaæ siê;- s
walczyæ;+ s
zar¿n¹æ;- m
marnowaæ;- m
przebijaæ siê;+ s
przebijaæ siê;amb
przebijaæ;amb
przebijaæ;+ s
przebiæ;+ s
przebiæ;+ m
przebiæ;amb
kwitn¹æ;+ s
kwitn¹æ;- s
rozkwitaæ;+ s
zakwitn¹æ;+ s
rozkwitn¹æ;+ s
rozkwitaæ;+ m
rozkwitaæ;amb
zakwitaæ;- s
zakwitn¹æ;- s
rozprzestrzeniaæ;amb
rozprzestrzeniæ;amb
chodziæ;amb
zwróciæ uwagê;- s
oczyszczaæ;amb
oczyœciæ;amb
pomyœleæ;+ s
myœleæ;amb
myœleæ;+ s
robiæ siê;+ s
robiæ siê;amb
zrobiæ siê;amb
wzmacniaæ;+ s
wzmocniæ;+ s
wzmacniaæ;amb
wzmocniæ;amb
æwierkaæ;+ s
zaczytaæ;- s
wydoiæ;- m
zaczytywaæ;- s
pêdziæ;amb
kombinowaæ;amb
kombinowaæ;- s
oczytaæ siê;+ s
oczytywaæ siê;+ s
wyczytaæ;+ s
wyczytywaæ;+ s
odczytaæ;+ s
odczytywaæ;+ s
szczekaæ;- m
szczekaæ;- s
doczytaæ;amb
doczytywaæ;amb
